names,Event,Depth,Lat,Lon,Julian,Cruise,diatom,phaeocystis,dinoflagellate
B12E28033Mjune131120181dr.txt,280,33,75.4998,25.9997,184,Summer_2018,NA,NA,NA
B13E23515Mjune11120182dr.txt,235,15,74.50004,30.00157,181,Summer_2018,NA,NA,NA
B13E23529Mjune61120181dr.txt,235,29,74.50004,30.00157,181,Summer_2018,NA,NA,NA
B13E2352Mjune311020182dr.txt,235,2,74.50004,30.00157,181,Summer_2018,NA,NA,NA
B13E23545Mjune141120182dr.txt,235,45,74.50004,30.00157,181,Summer_2018,NA,NA,NA
B14E22120Mjune301020181dr.txt,221,20,76.50004,29.99991,180,Summer_2018,NA,NA,1
B14E2212Mjune121020182dr.txt,221,2,76.50004,29.99991,180,Summer_2018,NA,NA,1
B14E22145Mjune311020182dr.txt,221,45,76.50004,29.99991,180,Summer_2018,NA,NA,1
B14E22160Mjune11120182dr.txt,221,60,76.50004,29.99991,180,Summer_2018,NA,NA,1
B16E14310Mjune141120181dr.txt,143,10,80.10027,29.99826,175,Summer_2018,1,NA,NA
B16E14325Mjune81120181dr.txt,143,25,80.10027,29.99826,175,Summer_2018,1,NA,NA
B16E1432Mjune311020181dr.txt,143,2,80.10027,29.99826,175,Summer_2018,1,NA,NA
B16E14356Mjune71120181dr.txt,143,56,80.10027,29.99826,175,Summer_2018,1,NA,NA
B27E1352Mjune81120181dr.txt,135,2,80.99211,29.30787,174,Summer_2018,NA,1,NA
B27E13536Mjune141120181dr.txt,135,36,80.99211,29.30787,174,Summer_2018,NA,1,NA
B34E18620Mjune121020182dr.txt,186,20,77.54955,30.00149,178,Summer_2018,NA,NA,NA
B34E1862Mjune61120181dr.txt,186,2,77.54955,30.00149,178,Summer_2018,NA,NA,NA
B34E18635Mjune301020181dr.txt,186,35,77.54955,30.00149,178,Summer_2018,NA,NA,NA
B34E18650Mjune311020182dr.txt,186,50,77.54955,30.00149,178,Summer_2018,1,1,NA
B35E27020Mjune81120181dr.txt,270,20,75.49999,29.9998,183,Summer_2018,1,1,NA
B35E2703Mjune131120181dr.txt,270,3,75.49999,29.9998,183,Summer_2018,1,1,NA
B35E27060Mjune131120181dr.txt,270,60,75.49999,29.9998,183,Summer_2018,1,1,NA
B3E2851Mjune61120181dr.txt,285,1,72.63,19.25,185,Summer_2018,1,NA,1
B3E28525Mjune151020181dr.txt,285,25,72.63,19.25,185,Summer_2018,1,NA,1
B3E28540Mjune311020181dr.txt,285,40,72.63,19.25,185,Summer_2018,1,NA,1
B5E2841Mjune61120181dr.txt,284,1,74.3695,18.1671,185,Summer_2018,NA,NA,NA
B5E2845Mjune151120181dr.txt,284,5,74.3695,18.1671,185,Summer_2018,NA,NA,NA
B6E28315Mjune11120181dr.txt,283,15,75.18,17.53,184,Summer_2018,NA,NA,NA
B6E2831Mjune311020181dr.txt,283,1,75.18,17.53,184,Summer_2018,NA,NA,NA
B6E28330Mjune11120182dr.txt,283,30,75.18,17.53,184,Summer_2018,NA,NA,NA
B7E28130Mjune81120181dr.txt,281,30,75.99565,16.8669333,184,Summer_2018,NA,NA,NA
B7E2815Mjune131120181dr.txt,281,5,75.99565,16.8669333,184,Summer_2018,NA,NA,NA
B7E28745Mjune121020182dr.txt,281,45,75.99565,16.8669333,184,Summer_2018,NA,NA,NA
GLIDERE23321Mjune311020181dr.txt,233,21,74.88428,30.03979,181,Summer_2018,NA,NA,1
GLIDERE2336Mjune121020182dr.txt,233,6,74.88428,30.03979,181,Summer_2018,NA,NA,1
H51E14615Mjune141120181dr.txt,146,15,78.1668,30.00139,176,Summer_2018,NA,NA,NA
H51E1462Mjune141120182dr.txt,146,2,78.1668,30.00139,176,Summer_2018,NA,NA,NA
H51E14630Mjune121120181dr.txt,146,30,78.1668,30.00139,176,Summer_2018,NA,NA,NA
H51E14645Mjune71120181dr.txt,146,45,78.1668,30.00139,176,Summer_2018,NA,NA,NA
HH48E2082Mjune81120181dr.txt,208,2,76.73265,29.99927,179,Summer_2018,NA,NA,NA
HH48E20838Mjune61120181dr.txt,208,38,76.73265,29.99927,179,Summer_2018,NA,NA,NA
HH49E20527Mjune121120181dr.txt,205,27,77.00004,30.00013,179,Summer_2018,NA,NA,NA
